client_lname,rec_num,cl_id,cl_type,description,ws_num,ws_wt_bottle_full,ws_wt_bottle_empty,ws_co2_yield,ws_delta_c13,osg_num,gf_co2_qty,tp_num,dc13,dc13_sample,f_modern,f_int_error,f_ext_error,seawater_dc14,wheel_id,ws_strip_date,ws_comments,q_flag,norm_ratio,int_err,ext_err,fm_corr,sig_fm_corr,lg_blk_fm,sig_lg_blk_fm,ws_line_num
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42096,262.7000122,,0.240694985,1.039999962,179259,43.20000076,238812,1.039999962,1.039999962,0.939342725,0.001876318,0.001876318,-68.24,CFAMS042619,57:08.9,,,0.939519157,0.001870952,0.001761871,0.939342725,0.001876318,0.001829399,0.000914699,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42097,260.8200073,,0.226434201,1.039000034,179260,40.59999847,238809,1.039000034,1.039000034,0.94185719,0.001807462,0.001807462,-65.75,CFAMS042619,57:30.3,,,0.942029205,0.001802244,0.000999589,0.94185719,0.001807462,0.001829399,0.000914699,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42098,253.4799957,,0.227763414,1.047000051,179261,40.70000076,238811,1.047000051,1.047000051,0.937470232,0.001928346,0.001928346,-70.1,CFAMS042619,57:44.5,,,0.937649952,0.001922868,0.001013232,0.937470232,0.001928346,0.001829399,0.000914699,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43034,47,0,0.101037554,0.978999972,182813,92.40000153,243672,0.978999972,0.978999972,0.939636435,0.002143479,0.002143479,-67.95,USAMS091719,10:28.7,15. REDICS-run as OC-no archive.,,0.939782289,0.002137989,0.000966699,0.939636435,0.002143479,0.001516323,0.001048309,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43021,244.8000031,145.8795,0.196825609,1.026000023,182811,173.1999969,243671,1.026000023,1.026000023,0.937553568,0.002249434,0.002249434,-70.01,USAMS091719,48:41.7,16,,0.937702456,0.002242067,0.002243806,0.937553568,0.002249434,0.001516323,0.001048309,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43058,251.3600006,145.8795,0.23043488,0.726999998,182888,43.29999924,243922,0.726999998,0.726999998,0.943412371,0.001784165,0.001784165,-64.2,USAMS092419,59:19.6,14. Pretty bad 13C...off by 0.25/mil,,0.943477164,0.001740621,0.001782672,0.943412371,0.001784165,0.000699432,0.000349716,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42994,47,0,0.096799999,0.980000019,182666,86.80000305,243673,0.980000019,0.980000019,0.94351924,0.002250769,0.002250769,-64.1,USAMS091719,44:00.2,,,0.94365944,0.002171159,0.002245406,0.94351924,0.002250769,0.001516323,0.001048309,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",41416,248.0500031,145.8795,0.214528218,0.972000003,176727,40.5,234752,0.972000003,0.972000003,0.947500732,0.002393639,0.002393639,-60.15,USAMS011519,47:04.1,,,0.947557786,0.00239199,0.001041488,0.947500732,0.002393639,0.000643148,0.000321574,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42889,47,0,0.099348135,0.98299998,182216,91.30000305,242648,0.98299998,0.98299998,0.943600918,0.001836307,0.001836307,-64.02,CFAMS082619,17:55.6,,,0.943900438,0.001824492,0.00160661,0.943600918,0.001836307,0.003247577,0.001623788,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42949,47,0,0.102085225,0.938000023,182476,92.40000153,242818,0.938000023,0.938000023,0.938839375,0.001934446,0.001934446,-68.74,CFAMS083019,45:52.8,19,,0.939337274,0.001908899,0.001487863,0.938839375,0.001934446,0.005153308,0.002576654,10
